Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00004,14,8,2016,58339,Erdin Kebap,M,23.0,191.0,77.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,
DT00007,19,8,2016,58361,Elizabeth Rose Keddell,F,22.0,169.0,67.0,New Zealand,NZL,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
DT00003,13,8,2016,58380,Shaun Keeling,M,29.0,196.0,94.0,South Africa,RSA,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver
DT00008,20,8,2016,58392,Maddison Keeney,F,20.0,167.0,62.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,
DT00008,20,8,2016,58392,Maddison Keeney,F,20.0,167.0,62.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Bronze
DT00007,19,8,2016,58396,Marloes Keetels,F,23.0,172.0,66.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
DT00003,13,8,2016,58415,Sally Kehoe,F,29.0,172.0,75.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,
DT00003,13,8,2016,58452,Tracy Keith-Matchitt,F,26.0,167.0,60.0,Cook Islands,COK,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,
DT00004,14,8,2016,58485,smail Kele,M,28.0,168.0,70.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",
DT00004,14,8,2016,58485,smail Kele,M,28.0,168.0,70.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",
DT00008,20,8,2016,58557,Elise Kellond-Knight,F,25.0,165.0,58.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00003,13,8,2016,58600,Armandas Kelmelis,M,18.0,193.0,86.0,Lithuania,LTU,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,
DT00002,12,8,2016,58601,Majlinda Kelmendi,F,25.0,162.0,52.0,Kosovo,KOS,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Gold
DT00001,11,8,2016,58608,Leyla Alev Kelter,F,25.0,168.0,75.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
DT00008,20,8,2016,58623,Tabea Kemme,F,24.0,169.0,56.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
DT00007,19,8,2016,58656,Robbert Huib Kemperman,M,26.0,186.0,76.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
DT00003,13,8,2016,58684,Tams Kenderesi,M,19.0,186.0,74.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Butterfly,Bronze
DT00008,20,8,2016,58697,Ryad Qamar Al-Din Keniche,M,23.0,185.0,75.0,Algeria,ALG,2016 Summer,Summer,Rio de Janeiro,Football,Football Men's Football,
DT00008,20,8,2016,58706,Alanna Stephanie Kennedy,F,21.0,176.0,54.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00003,13,8,2016,58707,Alex Kennedy,M,23.0,196.0,96.0,New Zealand,NZL,2016 Summer,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
DT00005,16,8,2016,58762,Zokhid Kenyayev,M,24.0,168.0,61.0,Uzbekistan,UZB,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
DT00004,14,8,2016,58786,Angelique Kerber,F,28.0,173.0,68.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,Silver
DT00004,14,8,2016,58786,Angelique Kerber,F,28.0,173.0,68.0,Germany-2,GER,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
DT00008,20,8,2016,58803,Alexandra Keresztesi,F,33.0,183.0,72.0,Argentina,ARG,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",
DT00008,20,8,2016,58854,Samantha May Kerr,F,22.0,167.0,63.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00008,20,8,2016,58866,Isabel Kerschowski,F,28.0,167.0,57.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
DT00003,13,8,2016,58894,Ajna Evelin Ksely,F,14.0,165.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
DT00003,13,8,2016,58894,Ajna Evelin Ksely,F,14.0,165.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,
DT00003,13,8,2016,58894,Ajna Evelin Ksely,F,14.0,165.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
DT00008,20,8,2016,58947,Rita Keszthelyi,F,24.0,178.0,67.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
DT00004,14,8,2016,58994,Madison Keys,F,21.0,178.0,68.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,
DT00008,20,8,2016,59005,Thembi Kgatlana,F,20.0,156.0,50.0,South Africa,RSA,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00008,20,8,2016,59047,Ahmad Ibrahim Khalaf,M,24.0,185.0,80.0,Iraq,IRQ,2016 Summer,Summer,Rio de Janeiro,Football,Football Men's Football,
DT00002,12,8,2016,59048,Ibrahim Khalaf,M,30.0,180.0,90.0,Jordan,JOR,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
DT00003,13,8,2016,59050,Ali Ahmed Mahmoud Ali Khalafalla,M,20.0,182.0,78.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
DT00008,20,8,2016,59080,Abdul Rahman Khalili,M,24.0,181.0,71.0,Sweden,SWE,2016 Summer,Summer,Rio de Janeiro,Football,Football Men's Football,
DT00002,12,8,2016,59097,Khasan Magometovich Khalmurzayev,M,22.0,182.0,81.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,Gold
DT00002,12,8,2016,59120,Yakiv Mykhailovych Khammo,M,22.0,188.0,,Ukraine,UKR,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,
DT00002,12,8,2016,59129,Didar Khamza,M,19.0,175.0,73.0,Kazakhstan,KAZ,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,
DT00004,14,8,2016,59158,Mairaj Ahmad Khan,M,40.0,181.0,82.0,India,IND,2016 Summer,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,
DT00008,20,8,2016,59200,Marta Nikolayevna Kharitonova,F,31.0,167.0,62.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",
DT00005,16,8,2016,59204,Farkhad Ibragimovich Kharki,M,25.0,160.0,62.0,Kazakhstan,KAZ,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,Bronze
DT00004,14,8,2016,59209,Olha Hennadivna Kharlan,F,25.0,172.0,68.0,Ukraine,UKR,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",Bronze
DT00004,14,8,2016,59209,Olha Hennadivna Kharlan,F,25.0,172.0,68.0,Ukraine,UKR,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Silver
DT00008,20,8,2016,59226,Enzo Khasz,M,22.0,203.0,105.0,France,FRA,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
DT00002,12,8,2016,59230,Phupu Lamu Khatri,F,19.0,163.0,63.0,Nepal,NEP,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,
DT00002,12,8,2016,59263,Tagir Kamalutdinovich Khaybulayev,M,32.0,182.0,100.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,
DT00008,20,8,2016,59264,Timur Khaydarov,M,20.0,185.0,86.0,Kazakhstan,KAZ,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",
DT00008,20,8,2016,59264,Timur Khaydarov,M,20.0,185.0,86.0,Kazakhstan,KAZ,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
DT00004,14,8,2016,59277,Najmeh Khedmati,F,20.0,159.0,64.0,Iran,IRI,2016 Summer,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",
